Player,PTS,Salary
Robert Woodard II,0.6,"$1,517,981 "
Robin Lopez,7.1,"$5,000,000 "
Rodney Hood,2.6,"$2,239,544 "
Rodney McGruder,5.4,"$1,939,350 "
Romeo Langford,2.8,"$3,804,360 "
Royce O'Neale,7.4,"$8,678,571 "
Rudy Gay,8.1,"$5,890,000 "
Rudy Gobert,15.6,"$35,344,828 "
Rui Hachimura,11.3,"$4,916,160 "
Russell Westbrook,18.5,"$44,211,146 "
Ryan Arcidiacono,1.6,"$586,136 "
Saben Lee,5.6,"$1,489,065 "
Saddiq Bey,16.1,"$2,824,320 "
Sam Dekker,0,"$350,000 "
Sam Hauser,2.5,"$313,737 "
Sam Merrill,4.2,"$663,024 "
Santi Aldama,4.1,"$1,994,520 "
Scottie Barnes,15.3,"$7,280,520 "
Semi Ojeleye,4.1,"$1,789,256 "
Serge Ibaka,7,"$9,742,000 "
Seth Curry,14.9,"$8,186,047 "
Shai Gilgeous-Alexander,24.5,"$5,495,532 "
Shake Milton,8.2,"$1,846,738 "
Skylar Mays,2.9,"$34,231 "
Solomon Hill,0.6,"$2,389,641 "
Spencer Dinwiddie,15.8,"$17,142,857 "
Stanley Johnson,6.7,"$888,616 "
Stephen Curry,25.5,"$45,780,966 "
Sterling Brown,3.3,"$3,000,000 "
Steven Adams,6.9,"$17,073,171 "
Svi Mykhailiuk,4.6,"$1,729,217 "
T.J. McConnell,8.5,"$7,500,000 "
Taj Gibson,4.4,"$4,910,000 "
Talen Horton-Tucker,10,"$9,500,000 "
Taurean Prince,7.3,"$15,057,692 "
Terance Mann,10.8,"$1,782,621 "
Terence Davis,10.4,"$4,000,000 "
Terrence Ross,10,"$12,500,000 "
Terry Rozier,19.3,"$17,905,263 "
Terry Taylor,9.6,"$21,270 "
Thaddeus Young,6.3,"$14,190,000 "
Thanasis Antetokounmpo,3.6,"$1,729,217 "
Thomas Bryant,7.4,"$8,730,159 "
Théo Maledon,7.1,"$2,000,000 "
Tim Hardaway Jr.,14.2,"$21,306,816 "
Timothé Luwawu-Cabarrot,4.4,"$1,939,350 "
Tobias Harris,17.2,"$36,000,000 "
Tomáš Satoranský,4.9,"$10,468,119 "
Tony Bradley,3,"$1,789,256 "
Tony Snell,5.9,"$2,389,641 "
Torrey Craig,6.9,"$4,878,049 "
Trae Young,28.4,"$8,326,471 "
Tre Jones,6,"$1,517,981 "
Tre Mann,10.4,"$2,901,240 "
Trendon Watford,7.6,"$260,561 "
Trent Forrest,3.3,"$8,558 "
Trevor Ariza,4,"$2,641,691 "
Trey Burke,5.1,"$3,333,333 "
Trey Lyles,10.6,"$2,500,000 "
Trey Murphy III,5.4,"$3,053,760 "
Tristan Thompson,5.7,"$10,720,900 "
Troy Brown Jr.,4.3,"$5,170,564 "
Ty Jerome,7.1,"$2,412,840 "
Tyler Herro,20.7,"$4,004,280 "
Tyrell Terry,1,"$1,517,981 "
Tyrese Haliburton,17.5,"$4,023,600 "
Tyrese Maxey,17.5,"$2,602,920 "
Tyus Jones,8.7,"$7,522,200 "
Udoka Azubuike,4.7,"$2,075,880 "
Udonis Haslem,2.5,"$2,641,691 "
Usman Garuba,2,"$2,353,320 "
Vernon Carey Jr.,4,"$1,517,981 "
Victor Oladipo,12.4,"$2,389,641 "
Vit Krejci,6.2,"$925,258 "
Vlatko Čančar,4.1,"$1,782,621 "
Wayne Ellington,6.7,"$2,641,691 "
Wayne Selden,1.7,"$785,102 "
Wendell Carter Jr.,15,"$6,920,027 "
Wenyen Gabriel,6.7,"$29,814 "
Wesley Matthews,5.1,"$1,958,501 "
Will Barton,14.7,"$15,384,615 "
Willy Hernangómez,9.1,"$2,327,220 "
Xavier Tillman Sr.,4.8,"$1,517,981 "
Yuta Watanabe,4.3,"$1,762,769 "
Zach Collins,7.8,"$6,984,127 "
Zach LaVine,24.4,"$19,500,000 "
Zeke Nnaji,6.6,"$2,498,760 "
Ziaire Williams,8.1,"$4,373,160 "
