Player,PTS,Salary,degree
Payton Pritchard,6.2,"$2,137,440 ",136
Rajon Rondo,6.2,"$2,641,691 ",136
Vit Krejci,6.2,"$925,258 ",136
Chimezie Metu,8.9,"$1,762,796 ",137
Cody Zeller,5.2,"$2,389,641 ",137
DeMarcus Cousins,8.9,"$1,290,481 ",137
Deni Avdija,8.4,"$4,692,840 ",137
Garrett Temple,5.2,"$4,910,000 ",137
PJ Dozier,5.4,"$1,910,860 ",137
Rodney McGruder,5.4,"$1,939,350 ",137
Trey Murphy III,5.4,"$3,053,760 ",137
Didi Louzada,5,"$1,786,878 ",138
Bismack Biyombo,5.8,"$1,366,392 ",139
CJ Elleby,5.8,"$1,517,981 ",139
Carsen Edwards,5.8,"$76,744 ",139
Damian Jones,8.1,"$1,977,011 ",139
Eric Paschall,5.8,"$1,782,621 ",139
Joshua Primo,5.8,"$3,946,800 ",139
Luka Garza,5.8,"$925,258 ",139
Rudy Gay,8.1,"$5,890,000 ",139
Ziaire Williams,8.1,"$4,373,160 ",139
Daniel Theis,7.9,"$8,372,093 ",140
Dewayne Dedmon,6.3,"$5,256,308 ",140
Jeremy Lamb,7.9,"$10,500,000 ",140
Jordan Nwora,7.9,"$1,517,981 ",140
Josh Christopher,7.9,"$2,259,240 ",140
Lou Williams,6.3,"$5,000,000 ",140
Thaddeus Young,6.3,"$14,190,000 ",140
Cam Reddish,6.1,"$4,670,160 ",141
Danny Green,5.9,"$10,000,000 ",141
Jose Alvarado,6.1,"$1,500,000 ",141
Kessler Edwards,5.9,"$5,318 ",141
Kira Lewis Jr.,5.9,"$3,822,240 ",141
Lamar Stevens,6.1,"$1,517,981 ",141
Nemanja Bjelica,6.1,"$2,089,448 ",141
Tony Snell,5.9,"$2,389,641 ",141
Alex Len,6,"$3,731,707 ",142
Austin Rivers,6,"$2,401,537 ",142
Dennis Smith Jr.,5.6,"$1,789,256 ",142
Derrick Jones Jr.,5.6,"$9,720,900 ",142
Jevon Carter,5.6,"$4,107,149 ",142
Keifer Sykes,5.6,"$558,345 ",142
Keita Bates-Diop,5.7,"$1,729,217 ",142
Kevon Looney,6,"$5,178,572 ",142
Matisse Thybulle,5.7,"$2,840,160 ",142
Naji Marshall,5.7,"$1,517,981 ",142
Quentin Grimes,6,"$2,168,760 ",142
Saben Lee,5.6,"$1,489,065 ",142
Tre Jones,6,"$1,517,981 ",142
Tristan Thompson,5.7,"$10,720,900 ",142
Avery Bradley,6.4,"$2,641,691 ",143
Blake Griffin,6.4,"$32,405,817 ",143
Bruno Fernando,6.9,"$1,782,621 ",143
Cory Joseph,8,"$7,310,000 ",143
Grant Williams,7.8,"$2,617,800 ",143
Isaiah Livers,6.4,"$1,057,260 ",143
JaMychal Green,6.4,"$8,292,683 ",143
James Johnson,5.5,"$2,641,691 ",143
Jarred Vanderbilt,6.9,"$4,259,259 ",143
Killian Hayes,6.9,"$5,572,680 ",143
Mike Muscala,8,"$3,500,000 ",143
Moses Brown,6.4,"$1,720,779 ",143
Steven Adams,6.9,"$17,073,171 ",143
Torrey Craig,6.9,"$4,878,049 ",143
Zach Collins,7.8,"$6,984,127 ",143
Aaron Holiday,6.8,"$3,980,551 ",144
Brandon Boston Jr.,6.7,"$925,258 ",144
Danuel House Jr.,6.8,"$2,045,094 ",144
Stanley Johnson,6.7,"$888,616 ",144
Wayne Ellington,6.7,"$2,641,691 ",144
Wenyen Gabriel,6.7,"$29,814 ",144
Aleksej Pokusevski,7.6,"$3,113,160 ",146
Furkan Korkmaz,7.6,"$4,629,630 ",146
Kyle Anderson,7.6,"$9,937,150 ",146
Markieff Morris,7.6,"$2,641,691 ",146
Mason Plumlee,6.5,"$8,137,500 ",146
P.J. Tucker,7.6,"$7,000,000 ",146
R.J. Hampton,7.6,"$2,303,040 ",146
Trendon Watford,7.6,"$260,561 ",146
Brad Wanamaker,7,"$705,598 ",147
Goga Bitadze,7,"$3,098,400 ",147
Maxi Kleber,7,"$8,750,000 ",147
Serge Ibaka,7,"$9,742,000 ",147
Zeke Nnaji,6.6,"$2,498,760 ",147
Cody Martin,7.7,"$1,782,621 ",148
Draymond Green,7.5,"$24,026,712 ",148
Jeremiah Robinson-Earl,7.5,"$2,000,000 ",148
Raul Neto,7.5,"$2,089,448 ",148
Rayjon Tucker,7.5,"$28,779 ",148
Alex Caruso,7.4,"$8,604,651 ",149
Austin Reaves,7.3,"$925,258 ",149
Damion Lee,7.4,"$1,910,860 ",149
Goran Dragić,7.3,"$20,168,742 ",149
Kenrich Williams,7.4,"$2,000,000 ",149
Larry Nance Jr.,7.3,"$10,690,909 ",149
Royce O'Neale,7.4,"$8,678,571 ",149
Taurean Prince,7.3,"$15,057,692 ",149
Thomas Bryant,7.4,"$8,730,159 ",149
Gary Payton II,7.1,"$1,939,350 ",150
Robin Lopez,7.1,"$5,000,000 ",150
Théo Maledon,7.1,"$2,000,000 ",150
Ty Jerome,7.1,"$2,412,840 ",150
Javonte Green,7.2,"$1,669,178 ",153
Joe Ingles,7.2,"$14,000,000 ",153
